0;0   ; Пример характеристической функции с наилучшим для всех разбиением на
1;11  ; коалиции {один-два-шесть} и {три-четыре-пять}.
2;12  ; При этом делёж по Шепли не приводит к такому разбиению от единичных коалиций
3;13  ; в начале игры.
4;14
5;15
6;16
1+2;24
1+3;25
1+4;26
1+5;27
1+6;28
2+3;29
2+4;30
2+5;31
2+6;32
3+4;33
3+5;34
3+6;35
4+5;36
4+6;37
5+6;38
1+2+3;41
1+2+4;42
1+2+5;43
1+2+6;500 ; mode
1+3+4;45
1+3+5;46
1+3+6;47
1+4+5;48
1+4+6;49
1+5+6;50
2+3+4;52
2+3+5;52
2+3+6;53
2+4+5;54
2+4+6;55
2+5+6;56
3+4+5;500 ; mode
3+4+6;58
3+5+6;59
4+5+6;60
1+2+3+4;161
1+2+3+5;162
1+2+3+6;163
1+2+4+5;164
1+2+4+6;165
1+2+5+6;166
1+3+4+5;167
1+3+4+6;168
1+3+5+6;169
1+4+5+6;170
2+3+4+5;171
2+3+4+6;172
2+3+5+6;173
2+4+5+6;174
3+4+5+6;175
1+2+3+4+5;476
1+2+3+4+6;477
1+2+3+5+6;478
1+2+4+5+6;479
1+3+4+5+6;480
2+3+4+5+6;481
1+2+3+4+5+6;600
